mpi,mK,meta,fphi,mN,mL,mS,mX
181.9443760715732, 498.889878104903, 554.6546140838598, 107.94238762780442, 978.9544109807607,1123.1807061157815,1194.1836712949635,1302.8078137478951
182.9443760715732, 499.09821595186185, 554.7910931461931, 107.96906809253721, 979.6763164332244,1123.7568998111105,1194.707992201852,1303.212451794265
183.9443760715732, 499.30769614627565, 554.9284893720236, 107.99577877162112, 980.4009754212022,1124.3353877599493,1195.2343535878663,1303.6187984420835
184.9443760715732, 499.51831822945996, 555.0668043862436, 108.02251891419762, 981.1283833917284,1124.916166019917,1195.7627518331838,1304.026850523219
185.9443760715732, 499.73008173272945, 555.2060398020669, 108.04928777177003, 981.8585358497537,1125.499230675295,1196.293183343501,1304.4366048643537
186.9443760715732, 499.9429861773668, 555.3461972208818, 108.07608459818135, 982.5914283567486,1126.0845778361224,1196.8256445491122,1304.8480582865648
187.9443760715732, 500.15703107459404, 555.4872782321086, 108.10290864959286, 983.3270565293205,1126.6722036373012,1197.3601319039963,1305.2612076049074
188.9443760715732, 500.3722159255439, 555.6292844130554, 108.12975918446313, 984.0654160378373,1127.2621042377054,1197.8966418849088,1305.6760496280033
189.9443760715732, 500.58854022123205, 555.7722173287764, 108.15663546352778, 984.8065026050597,1127.854275819299,1198.435170990484,1306.092581157633
190.9443760715732, 500.8060034425298, 555.916078531931, 108.18353674977963, 985.5503120047838,1128.4487145862577,1198.975715740338,1306.5107989883295
191.9443760715732, 501.02460506013676, 556.0608695626432, 108.21046230844972, 986.2968400604931,1129.0454167640971,1199.5182726741828,1306.9306999069775
192.9443760715732, 501.24434453455643, 556.2065919483623, 108.23741140698844, 987.0460826440169,1129.6443785988126,1200.0628383509445,1307.3522806924202
193.9443760715732, 501.4652213160691, 556.3532472037249, 108.26438331504767, 987.7980356742014,1130.2455963560178,1200.6094093478898,1307.7755381150628
194.9443760715732, 501.68723484470837, 556.5008368304178, 108.29137730446303, 988.5526951155866,1130.8490663200937,1201.1579822597564,1308.2004689364803
195.9443760715732, 501.91038455023664, 556.6493623170416, 108.31839264923697, 989.3100569770946,1131.454784793345,1201.7085536978925,1308.6270699090392
196.9443760715732, 502.1346698521217, 556.7988251389753, 108.3454286255221, 990.0701173107266,1132.0627480951591,1202.2611202893993,1309.0553377755073
197.9443760715732, 502.36009015951396, 556.9492267582425, 108.37248451160535, 990.8328722102667,1132.6729525611763,1202.8156786762845,1309.48526926868
198.9443760715732, 502.58664487122473, 557.1005686233784, 108.39955958789211, 991.5983178099991,1133.2853945424606,1203.3722255146179,1309.9168611110022
199.9443760715732, 502.81433337570456, 557.2528521692971, 108.42665313689152, 992.3664502834299,1133.900070404683,1203.9307574736958,1310.350110014198
200.9443760715732, 503.0431550510223, 557.4060788171612, 108.45376444320156, 993.1372658420225,1134.516976527305,1204.4912712352123,1310.7850126789024
201.9443760715732, 503.27310926484546, 557.5602499742523, 108.480892793495, 993.9107607339377,1135.1361093027724,1205.0537634924312,1311.2215657942938
202.9443760715732, 503.5041953744195, 557.7153670338399, 108.50803747650563, 994.6869312427859,1135.7574651357147,1205.6182309493745,1311.6597660377365
203.9443760715732, 503.73641272655107, 557.8714313750573, 108.53519778301522, 995.4657736863885,1136.3810404421497,1206.1846703200074,1312.099610074419
204.9443760715732, 503.96976065758844, 558.0284443627717, 108.56237300584043, 996.2472844155461,1137.0068316486954,1206.7530783274356,1312.5410945570015
205.9443760715732, 504.204238493404, 558.1864073474602, 108.58956243982045, 997.0314598128195,1137.6348351917864,1207.323451703106,1312.9842161252618
206.9443760715732, 504.4398455468968, 558.3453216634106, 108.61676538151919, 997.8182962896685,1138.2650475135588,1207.8957871818516,1313.4289714003087
207.9443760715732, 504.6765811274487, 558.5051886349884, 108.64398113030649, 998.6077902915356,1138.8974650738319,1208.470081517,1313.8753570050128
208.9443760715732, 504.91444452732156, 558.6660095673517, 108.67120898677756, 999.3999382876398,1139.5320843310512,1209.0463314567935,1314.3233695338545
209.9443760715732, 505.15343503031994, 558.8277857521797, 108.69844825374554, 1000.1947367755467,1140.1689017532158,1209.6245337581804,1314.7730055716295
210.9443760715732, 505.39355190969474, 558.9905184661503, 108.72569823598997, 1000.9921822786124,1140.8079138143196,1210.204685182547,1315.2242616885399
211.9443760715732, 505.63479442813065, 559.1542089708223, 108.75295824024691, 1001.7922713448174,1141.4491169936114,1210.7867824949672,1315.677134439867
212.9443760715732, 505.8771618377328, 559.3188585125165, 108.78022757519922, 1002.5950005456112,1142.0925077748523,1211.370822463437,1316.1316203656374
213.9443760715732, 506.12065338001497, 559.4844683221997, 108.80750555146733, 1003.4003664747622,1142.738082645583,1211.9568018581356,1316.5877159903025
214.9443760715732, 506.36526828588796, 559.6510396153711, 108.83479148160008, 1004.2083657472208,1143.3858380963975,1212.5447174506758,1317.0454178224102
215.9443760715732, 506.61100577564883, 559.8185735919462, 108.86208468006629, 1005.0189949979897,1144.0357706202217,1213.134566013372,1317.5047223542877
216.9443760715732, 506.8578650589709, 559.9870714361459, 108.8893844632464, 1005.8322508810029,1144.6878767115984,1213.7263443185088,1317.9656260617244
217.9443760715732, 507.1058453348943, 560.1565343163841, 108.9166901494245, 1006.6481300680148,1145.3421528659783,1214.3200491376167,1318.4281254036575
218.9443760715732, 507.3549457918173, 560.3269633851577, 108.94400105878081, 1007.4666292474977,1145.9985955790175,1214.9156772407546,1318.8922168218617
