mϕ,mB
134.9443760715732,854.9650872715655
135.9443760715732,855.624910649166
136.9443760715732,856.2883977863654
137.9443760715732,856.9555446453647
138.9443760715732,857.6263473188927
139.9443760715732,858.3008020261791
140.9443760715732,858.9789051089772
141.9443760715732,859.6606530276327
142.9443760715732,860.3460423572028
143.9443760715732,861.0350697836185
144.9443760715732,861.7277320998998
145.9443760715732,862.4240262024143
146.9443760715732,863.1239490871873
147.9443760715732,863.8274978462562
148.9443760715732,864.5346696640759
149.9443760715732,865.2454618139695
150.9443760715732,865.9598716546282
151.9443760715732,866.6778966266575
152.9443760715732,867.3995342491727
153.9443760715732,868.1247821164396
154.9443760715732,868.8536378945645
155.9443760715732,869.5860993182297
156.9443760715732,870.3221641874774
157.9443760715732,871.0618303645392
158.9443760715732,871.8050957707135
159.9443760715732,872.5519583832877
160.9443760715732,873.3024162325089
161.9443760715732,874.0564673985984
162.9443760715732,874.8141100088137
163.9443760715732,875.5753422345554
164.9443760715732,876.3401622885191
165.9443760715732,877.1085684218936
166.9443760715732,877.8805589216026
167.9443760715732,878.6561321075922
168.9443760715732,879.4352863301611
169.9443760715732,880.2180199673375
170.9443760715732,881.0043314222962
171.9443760715732,881.7942191208222
172.9443760715732,882.5876815088159
173.9443760715732,883.3847170498409
174.9443760715732,884.1853242227157
175.9443760715732,884.9895015191452
176.9443760715732,885.7972474413965
177.9443760715732,886.6085605000145
178.9443760715732,887.4234392115794
179.9443760715732,888.2418820965039
180.9443760715732,889.0638876768726
181.9443760715732,889.8894544743192
182.9443760715732,890.7185810079459
183.9443760715732,891.5512657922795
184.9443760715732,892.3875073352684
185.9443760715732,893.2273041363165
186.9443760715732,894.0706546843571
187.9443760715732,894.9175574559632
188.9443760715732,895.7680109134952
189.9443760715732,896.6220135032864
190.9443760715732,897.4795636538644
191.9443760715732,898.3406597742088
192.9443760715732,899.2053002520453
193.9443760715732,900.0734834521741
194.9443760715732,900.9452077148345
195.9443760715732,901.8204713541031
196.9443760715732,902.699272656327
197.9443760715732,903.5816098785896
198.9443760715732,904.4674812472115
199.9443760715732,905.3568849562834
200.9443760715732,906.2498191662304
201.9443760715732,907.1462820024112
202.9443760715732,908.0462715537468
203.9443760715732,908.9497858713814
204.9443760715732,909.8568229673738
205.9443760715732,910.7673808134201
206.9443760715732,911.6814573396059
207.9443760715732,912.5990504331885
208.9443760715732,913.5201579374078
209.9443760715732,914.4447776503275
210.9443760715732,915.372907323703
211.9443760715732,916.3045446618787
212.9443760715732,917.2396873207133
213.9443760715732,918.1783329065303
214.9443760715732,919.120478975098
