mπ,mK,mη,fπ,fK,fη,fϕ,mN,mL,mS,mX
167.61669872,486.87946143,543.25352866,93.38003157,110.38269839,118.47696905,107.413233,966.34413527,1107.39985848,1176.16553368,1282.74720391
168.61669872,486.76253607,543.05150839,93.44141146,110.39706163,118.46472468,107.43439926,966.93850499,1107.67801081,1176.29559234,1282.63551861
169.61669872,486.64480161,542.84809694,93.5029369,110.41141196,118.45239045,107.45557977,967.53511262,1107.95671814,1176.42529873,1282.52225309
170.61669872,486.52625607,542.64329029,93.56460654,110.42574856,118.43996605,107.47677371,968.13395278,1108.23597397,1176.5546459,1282.40739951
171.61669872,486.40689742,542.43708437,93.62641904,110.44007063,118.42745116,107.49798028,968.73502017,1108.51577186,1176.68362695,1282.29095006
172.61669872,486.28672363,542.22947508,93.68837308,110.45437736,118.41484548,107.51919864,969.33830957,1108.79610545,1176.81223505,1282.17289694
173.61669872,486.16573267,542.02045829,93.75046732,110.46866794,118.40214867,107.54042798,969.9438159,1109.07696841,1176.9404634,1282.05323236
174.61669872,486.04392248,541.8100298,93.81270045,110.48294157,118.38936042,107.56166748,970.55153415,1109.35835449,1177.06830528,1281.93194857
175.61669872,485.92129099,541.59818538,93.87507114,110.49719742,118.3764804,107.58291632,971.16145941,1109.64025747,1177.195754,1281.80903778
176.61669872,485.79783612,541.38492076,93.93757809,110.5114347,118.3635083,107.6041737,971.77358686,1109.9226712,1177.32280294,1281.68449227
177.61669872,485.67355577,541.17023164,94.00021998,110.52565259,118.35044377,107.62543878,972.38791178,1110.20558958,1177.44944551,1281.5583043
178.61669872,485.54844782,540.95411364,94.06299551,110.53985027,118.3372865,107.64671076,973.00442955,1110.48900657,1177.57567518,1281.43046614
179.61669872,485.42251016,540.73656238,94.12590339,110.55402694,118.32403614,107.66798882,973.62313561,1110.77291616,1177.70148549,1281.3009701
180.61669872,485.29574064,540.5175734,94.18894232,110.56818178,118.31069236,107.68927215,974.24402552,1111.05731242,1177.82686999,1281.16980847
181.61669872,485.1681371,540.29714221,94.252111,110.58231396,118.29725483,107.71055993,974.86709491,1111.34218945,1177.95182229,1281.03697357
182.61669872,485.03969739,540.07526429,94.31540816,110.59642268,118.2837232,107.73185135,975.4923395,1111.62754139,1178.07633607,1280.90245772
183.61669872,484.9104193,539.85193505,94.37883251,110.61050712,118.27009713,107.75314559,976.1197551,1111.91336247,1178.20040503,1280.76625328
